Pilsner - Czech,Pilsner
Pilsner - German,Pilsner
Pilsner - Imperial / Double,Pilsner
Pilsner - Other,Pilsner
Lager - IPL (India Pale Lager),Pilsner
Sour - Berliner Weisse,Berliner Weisse/Gose
Sour - Gose,Berliner Weisse/Gose
Hefeweizen,Hefeweizen
Hefeweizen Light / Leicht,Hefeweizen
Kristallweizen,Hefeweizen
Lager - Dortmunder / Export,Light Lager
Lager - Helles,Light Lager
Lager - Pale,Light Lager
Lager - Vienna,Amber Lager
Märzen,Amber Lager
Lager - Amber,Amber Lager
Altbier,Amber Lager
Festbier,Amber Lager
Lager - Red,Amber Lager
Lager - Dark,Dark Lager
Lager - Dunkel Munich,Dark Lager
Rauchbier,Dark Lager
Schwarzbier,Dark Lager
Lager - Euro Dark,Dark Lager
Bock,Bright Bock
Maibock / Heller (Helles) Bock,Bright Bock
Dunkelweizen,Dark Bock
Weizenbock,Dark Bock
Eisbock,Dark Bock
Belgian Blond(e),Single/Blonde
Blonde Ale - Belgian Blonde / Golden,Single/Blonde
Patersbier,Single/Blonde
Pale Ale - Belgian,Single/Blonde
Belgian Dubbel,Belgian Dubbel
Belgian Tripel,Belgian Tripel
Belgian Quad,Belgian Quad
Belgian Strong Dark Ale,Belgian Quad
Saison / Farmhouse Ale,Saison
Bière de Garde,Saison
Grisette,Saison
Sour - Flanders Oud Bruin,Flanders
Sour - Flanders Red Ale,Flanders
Witbier,Witbier
Belgian Strong Golden Ale,Belgian Strong Golden Ale
Bière de Champagne / Bière Brut,Belgian Strong Golden Ale
Lambic - Faro,Lambic
Lambic - Framboise,Lambic
Lambic - Fruit,Lambic
Lambic - Gueuze,Lambic
Lambic - Kriek,Lambic
Lambic - Traditional,Lambic
Burton Ale,Pale Ale
IPA - English,Pale Ale
Pale Ale - English,Pale Ale
English Bitter,Pub Ale
English Mild Ale,Pub Ale
Extra Special / Strong Bitter,Pub Ale
Porter - American,Porter
Porter - Other,Porter
Porter - Baltic,Porter
Porter - English,Porter
Porter - Imperial / Double,Porter
Stout - Foreign / Export,Lite Stout
Stout - Imperial Milk / Sweet,Lite Stout
Stout - Irish Dry,Lite Stout
Stout - Milk / Sweet,Lite Stout
Stout - Imperial Oatmeal,Dark Stout
Stout - Oatmeal,Dark Stout
Stout - Oyster,Dark Stout
Stout - Russian Imperial,Russian Imperial Stout
Scotch Ale / Wee Heavy,Scotch Ale
Scottish Ale,Scotch Ale
Scottish Export Ale,Scotch Ale
Barleywine - American,Barleywine
Barleywine - English,Barleywine
Barleywine - Other,Barleywine
